track_set	cell_type	condition	cells	peak_matrix_counts	normalization	scale_factor	bin_size	file	cut_sites	bytes	sha256	bigwig_chromosomes
population	FB	P8+3 dps	2068	26633414	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	22891172.5	10	wang2020_fb_p8_sham_psd3.bw	50473508	234110980	a78cc38208d334af0240427003bb8191b1f214260ada3d789ae7560fd9cae320	22
population	SMC_Pericyte	P1+3 dpi	381	4803220	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	4821753.5	10	wang2020_smc_pericyte_p1_mi_psd3.bw	11823996	98190738	500a49a75f364dc82b5f715df3c468a0608b1b81dddde7d516c088eda2ca9230	22
population	SMC_Pericyte	P1+3 dps	371	4679766	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	4821753.5	10	wang2020_smc_pericyte_p1_sham_psd3.bw	10993710	90977575	09f37f4f537ff764b917549fe24353e5e86d8b95e70206fcb289848892e4f757	22
population	SMC_Pericyte	P8+3 dpi	487	4840287	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	4821753.5	10	wang2020_smc_pericyte_p8_mi_psd3.bw	11745472	95905870	7d4e6e5370d5d1e1c9f3af676c208e471f51b2d20560610571e8e9d8c714c8cb	22
population	SMC_Pericyte	P8+3 dps	581	5949989	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	4821753.5	10	wang2020_smc_pericyte_p8_sham_psd3.bw	12934518	97854982	e9435d0fb902fd5104abbbdad851f1334c7a419b689a5269bb33e49ff34ac916	22
population	Epi	P1+3 dpi	138	1728691	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1105166.0	10	wang2020_epi_p1_mi_psd3.bw	4779342	49356105	24a773aee694bd12322bd01cc420c9c27b0a6fbce93fe0026daec78b1c92824f	22
population	Epi	P1+3 dps	38	500328	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1105166.0	10	wang2020_epi_p1_sham_psd3.bw	1264220	16538618	55d528806c93ba1ff6be315758e1a5b6cf22f5af4e40633ba8902f0b7846d96f	22
population	Epi	P8+3 dpi	133	1385448	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1105166.0	10	wang2020_epi_p8_mi_psd3.bw	4370684	48774984	90bd2dbe9b2c2891ce1017157449eb09b8064184e305609eebefbc36a1cb380d	22
population	Epi	P8+3 dps	74	824884	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	1105166.0	10	wang2020_epi_p8_sham_psd3.bw	2602400	30450667	3139955ff0f949e3d08ff49a7324cb39df2a2ccd38b26713ba35d3e5df149d07	22
population	Macrophage	P1+3 dpi	331	3941691	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	2751429.5	10	wang2020_macrophage_p1_mi_psd3.bw	9993634	79478910	ea1b1b29fe8c817fbad9a77722b0362c7672af8c87526d8458ea063663fbe21b	22
