,cellName,markerEnsemblIDs,tissueType
32,Matrifibrocyte,ENSMUSG00000027656 ENSMUSG00000068196 ENSMUSG00000031849 ENSMUSG00000026051 ENSMUSG00000001493 ENSMUSG00000027996 ENSMUSG00000021702,Heart
33,Mesenchymal cell,ENSMUSG00000001506 ENSMUSG00000001506 ENSMUSG00000026043 ENSMUSG00000026814 ENSMUSG00000026193 ENSMUSG00000037411,Heart
34,Mesenchymal stromal cell,ENSMUSG00000032011,Heart
35,Mesoderm,ENSMUSG00000042258 ENSMUSG00000029651,Heart
36,Monocyte,ENSMUSG00000051439 ENSMUSG00000018774 ENSMUSG00000030786,Heart
37,Mural cell,ENSMUSG00000032911 ENSMUSG00000032911 ENSMUSG00000032135 ENSMUSG00000018830 ENSMUSG00000024620 ENSMUSG00000024620,Heart
38,Myofibroblast,ENSMUSG00000001506 ENSMUSG00000054196 ENSMUSG00000030772 ENSMUSG00000026193 ENSMUSG00000029231 ENSMUSG00000029838 ENSMUSG00000028364,Heart
39,Natural killer cell,ENSMUSG00000035042 ENSMUSG00000023132 ENSMUSG00000030361 ENSMUSG00000030149 ENSMUSG00000062524 ENSMUSG00000004612,Heart
40,Neuronal glial cell,ENSMUSG00000024366 ENSMUSG00000031425 ENSMUSG00000079037,Heart
41,Neutrophil,ENSMUSG00000028859 ENSMUSG00000045382 ENSMUSG00000037405 ENSMUSG00000027009 ENSMUSG00000022582 ENSMUSG00000056054,Heart
42,Nuclear cardiomyocyte,ENSMUSG00000031004,Heart
43,Pericyte,ENSMUSG00000030247 ENSMUSG00000029231 ENSMUSG00000045680,Heart
44,Plasma cell,ENSMUSG00000022838 ENSMUSG00000076619 ENSMUSG00000067149,Heart
45,pDC,ENSMUSG00000029530 ENSMUSG00000063903,Heart
46,Progenitor cell,ENSMUSG00000062960 ENSMUSG00000075602 ENSMUSG00000075602 ENSMUSG00000030544 ENSMUSG00000015579 ENSMUSG00000015579 ENSMUSG00000029231,Heart
47,Red blood cell,ENSMUSG00000025270 ENSMUSG00000051839 ENSMUSG00000069919 ENSMUSG00000073940,Heart
48,Treg cell,ENSMUSG00000023274 ENSMUSG00000026011 ENSMUSG00000026011 ENSMUSG00000039521 ENSMUSG00000039521 ENSMUSG00000039521 ENSMUSG00000041954,Heart
49,Resident macrophage,ENSMUSG00000052336 ENSMUSG00000039109,Heart
50,Sinoatrial node cell,ENSMUSG00000024008 ENSMUSG00000022122 ENSMUSG00000034520 ENSMUSG00000021730 ENSMUSG00000021730 ENSMUSG00000032338 ENSMUSG00000032338 ENSMUSG00000026185 ENSMUSG00000042258 ENSMUSG00000059974 ENSMUSG00000059173 ENSMUSG00000021219 ENSMUSG00000027833 ENSMUSG00000023886 ENSMUSG00000032419 ENSMUSG00000018604,Heart
51,Smooth muscle cell,ENSMUSG00000022836,Heart
52,Stromal cell,ENSMUSG00000056481 ENSMUSG00000075602 ENSMUSG00000024011,Heart
53,T cell,ENSMUSG00000032094 ENSMUSG00000032094 ENSMUSG00000032093 ENSMUSG00000032093 ENSMUSG00000032093 ENSMUSG00000002033 ENSMUSG00000002033 ENSMUSG00000027985 ENSMUSG00000032011,Heart
54,Th17 cell,ENSMUSG00000023274 ENSMUSG00000048521 ENSMUSG00000025929 ENSMUSG00000032238 ENSMUSG00000032238 ENSMUSG00000028362,Heart
55,Th2 cell,ENSMUSG00000019987 ENSMUSG00000015619,Heart
56,Venous endothelial cell,ENSMUSG00000029710,Heart
57,Ventricular cell,ENSMUSG00000045776 ENSMUSG00000015090 ENSMUSG00000015112,Heart
58,Ventricular compact cell,ENSMUSG00000042284 ENSMUSG00000000555 ENSMUSG00000027111,Heart
59,Ventricular trabecular cell,ENSMUSG00000042284 ENSMUSG00000000555 ENSMUSG00000027111,Heart
60,Ventricular zone cell,ENSMUSG00000026735,Heart
61,Well_established epicardial progenitor cell,ENSMUSG00000013584 ENSMUSG00000015627 ENSMUSG00000040254 ENSMUSG00000032419 ENSMUSG00000045680 ENSMUSG00000016458,Heart
