"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rad51d1",0.00104990506205866,0.351113531447551,0.018,0.034,1,"CM4","Rad51d"
"Gstp1",0.00105001699090939,2.10408970606176,0.028,0.016,1,"CM4","Gstp1"
"Borcs6",0.00105838208840713,1.81269609357272,0.026,0.015,1,"CM4","Borcs6"
"Dcaf71",0.00106066794839446,0.666653953816851,0.082,0.115,1,"CM4","Dcaf7"
"AI837181",0.00106474562905925,1.79018747498119,0.043,0.027,1,"CM4","AI837181"
"Coa4",0.00107340386172449,1.96324148784343,0.026,0.015,1,"CM4","Coa4"
"Tor1b",0.00107844364083559,0.526351152858918,0.037,0.058,1,"CM4","Tor1b"
"Ubac1",0.00108986983317373,0.769795678881926,0.097,0.135,1,"CM4","Ubac1"
"Tgfb1",0.00109709792505203,1.83444156988395,0.051,0.034,1,"CM4","Tgfb1"
"Cttnbp2nl",0.00110498952295916,0.651040067575854,0.068,0.098,1,"CM4","Cttnbp2nl"
"Nfkbia",0.00110595178761813,1.82781426762503,0.065,0.047,1,"CM4","Nfkbia"
"Serinc3",0.00110626202222932,0.793105100789266,0.192,0.261,1,"CM4","Serinc3"
"Esco21",0.00110856716199369,0.340589230271302,0.053,0.078,1,"CM4","Esco2"
"Nfs1",0.00111774087210269,0.658889407018178,0.09,0.125,1,"CM4","Nfs1"
"Adora2a",0.00112967062438295,2.0817251267629,0.022,0.011,1,"CM4","Adora2a"
"Trir",0.00113942100636516,1.42596579177675,0.229,0.224,1,"CM4","Trir"
"Yae1d1",0.00114355986546262,0.657854247502268,0.078,0.11,1,"CM4","Yae1d1"
"Spryd7",0.00114775931213269,0.447129091815495,0.059,0.085,1,"CM4","Spryd7"
"Ppox1",0.00116339833066579,0.621991166573987,0.026,0.044,1,"CM4","Ppox"
"Itpkb",0.00117184902261799,1.60567536431982,0.095,0.075,1,"CM4","Itpkb"
"Spryd4",0.00117451905303904,1.930746077729,0.034,0.02,1,"CM4","Spryd4"
"Mis121",0.00118046624217966,0.249099003001206,0.016,0.031,1,"CM4","Mis12"
"Ifi30",0.00118745625322678,2.22088215687748,0.036,0.022,1,"CM4","Ifi30"
"Exosc1",0.00118919247969543,0.413104577757704,0.026,0.044,1,"CM4","Exosc1"
"Pla2g7",0.00119442363127046,3.19698966630869,0.01,0.004,1,"CM4","Pla2g7"
"Tmem181",0.00120481304895713,0.453332731600246,0.016,0.031,1,"CM4","Tmem18"
"Crocc",0.00120565233486568,0.295171858854339,0.011,0.024,1,"CM4","Crocc"
"Pwwp3a1",0.00121252109654568,0.76814143135543,0.051,0.075,1,"CM4","Pwwp3a"
"Supt4a",0.00122034659221685,1.56582747932427,0.109,0.089,1,"CM4","Supt4a"
"Wdr3",0.00122260415522958,0.205158098311685,0.023,0.04,1,"CM4","Wdr3"
"Srprb",0.0012226249709782,0.237299588279755,0.032,0.052,1,"CM4","Srprb"
"Mnd11",0.00123468800474703,0.406884482320398,0.019,0.034,1,"CM4","Mnd1"
"Hist1h1c",0.00124809310774214,1.15116687068309,0.189,0.172,1,"CM4","Hist1h1c"
"Bloc1s4",0.00125699972282008,1.96953211086332,0.04,0.025,1,"CM4","Bloc1s4"
"Dnajb12",0.00125960372387122,0.466551640548742,0.05,0.074,1,"CM4","Dnajb12"
"Abca8b",0.00126613188139506,0.452634402851077,0.024,0.042,1,"CM4","Abca8b"
"Csf1",0.00127158623001704,0.493843889421404,0.017,0.032,1,"CM4","Csf1"
"Brms1",0.00127548173014386,0.375421702163961,0.019,0.034,1,"CM4","Brms1"
"Thsd1",0.00127749004808723,1.93739160661452,0.031,0.018,1,"CM4","Thsd1"
"Clcn4",0.0012816013967801,0.677314426754296,0.082,0.114,1,"CM4","Clcn4"
"Cntd11",0.00129045777773529,0.122137377385134,0.006,0.017,1,"CM4","Cntd1"
"Grap",0.00129120328716785,2.55925271021144,0.01,0.004,1,"CM4","Grap"
"Pex11b",0.00130216809663794,0.45358944078533,0.021,0.037,1,"CM4","Pex11b"
"Agpat5",0.00130362218115446,0.578262706870571,0.06,0.086,1,"CM4","Agpat5"
"Snap47",0.00130603290823521,0.733282920185027,0.055,0.08,1,"CM4","Snap47"
"Gimap5",0.00131673502683335,2.23629053536318,0.022,0.012,1,"CM4","Gimap5"
"Pcdh12",0.00132003672413502,2.33054000895714,0.016,0.008,1,"CM4","Pcdh12"
"Atxn7l2",0.00132181501918148,0.160002437352115,0.008,0.02,1,"CM4","Atxn7l2"
"Ier2",0.00133447624200008,1.71463282330641,0.067,0.049,1,"CM4","Ier2"
"Klf6",0.00133754332184797,1.65819174603428,0.119,0.099,1,"CM4","Klf6"
"Adrm1",0.00134022002545585,1.59609659979553,0.068,0.05,1,"CM4","Adrm1"
"Tmem214",0.00134872998919176,0.694234601842569,0.039,0.061,1,"CM4","Tmem214"
"Nusap11",0.00135019035564078,1.3061134147932,0.139,0.118,1,"CM4","Nusap1"
"Dtx2",0.00135699158647901,0.164364258383067,0.019,0.034,1,"CM4","Dtx2"
"Rcc11",0.00135906188683389,0.270905052135238,0.032,0.051,1,"CM4","Rcc1"
"Plac8",0.00136747947116501,2.70063666561486,0.011,0.004,1,"CM4","Plac8"
"Kti12",0.00138443622557912,1.94050605301459,0.032,0.019,1,"CM4","Kti12"
"9130401M01Rik",0.00138606154240226,1.89474517276364,0.043,0.028,1,"CM4","9130401M01Rik"
"C030006K11Rik",0.00138718542478127,2.00380094390359,0.034,0.021,1,"CM4","C030006K11Rik"
"Lysmd2",0.00138900975909737,1.84558331412812,0.037,0.023,1,"CM4","Lysmd2"
"Dedd",0.00139057732797052,0.727028359191935,0.035,0.055,1,"CM4","Dedd"
"Stard10",0.0013907493802548,2.40360644651027,0.016,0.007,1,"CM4","Stard10"
"Meaf61",0.00139142206823964,0.572111885274277,0.07,0.099,1,"CM4","Meaf6"
"Dbf41",0.00139218483591982,0.522572936528028,0.057,0.083,1,"CM4","Dbf4"
"Mtln",0.00139236893695137,1.3663329898482,0.133,0.113,1,"CM4","Mtln"
"Stxbp21",0.00139677536156538,0.111635837444963,0.004,0.013,1,"CM4","Stxbp2"
"Tnfsf12",0.0014014032288787,2.20257659299787,0.027,0.015,1,"CM4","Tnfsf12"
"Bet1",0.00140245018619383,0.722629441143407,0.083,0.116,1,"CM4","Bet1"
"Sox13",0.00142034466610916,2.35609651382331,0.027,0.015,1,"CM4","Sox13"
"Ackr41",0.00142047643042614,0.278868968060997,0.012,0.026,1,"CM4","Ackr4"
"Tmem242",0.0014406644753829,0.685673280814197,0.086,0.119,1,"CM4","Tmem242"
"Ulk1",0.00144233482341645,0.700426492801012,0.057,0.083,1,"CM4","Ulk1"
"Nrxn2",0.0014548750087735,2.52074601766979,0.013,0.006,1,"CM4","Nrxn2"
"Nfic",0.00145543673778389,1.31205387444096,0.215,0.207,1,"CM4","Nfic"
"Cnih1",0.0014554615400885,1.53584177037012,0.11,0.09,1,"CM4","Cnih1"
"Ppp1r9b",0.00145911669413299,1.91666500457507,0.041,0.027,1,"CM4","Ppp1r9b"
"Hspg2",0.00146430520508624,1.11995059347415,0.36,0.412,1,"CM4","Hspg2"
"Nfkbil1",0.00146915940395972,0.220823886653665,0.017,0.032,1,"CM4","Nfkbil1"
"Snapc2",0.00147028415726632,2.20083875085076,0.014,0.006,1,"CM4","Snapc2"
"Usb1",0.00147468026337181,0.363932419012563,0.023,0.04,1,"CM4","Usb1"
"Acly",0.00147869822796368,0.726773060218496,0.067,0.095,1,"CM4","Acly"
