"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nckap5",0,1.30533020158724,0.958,0.507,0,"CM1","Nckap5"
"D830005E20Rik",0,1.16127330152102,0.97,0.55,0,"CM1","D830005E20Rik"
"Sorbs1",0,1.08523853429931,0.978,0.597,0,"CM1","Sorbs1"
"Pde4d",0,1.09143762749399,0.989,0.617,0,"CM1","Pde4d"
"Ank2",0,1.13947934890827,0.984,0.619,0,"CM1","Ank2"
"Mlip",0,1.08562729599925,0.989,0.624,0,"CM1","Mlip"
"Akap6",0,0.975845917235012,0.986,0.622,0,"CM1","Akap6"
"Pde4b",0,0.979680032336377,0.988,0.625,0,"CM1","Pde4b"
"Dip2c",0,0.995792283156429,0.99,0.632,0,"CM1","Dip2c"
"Fgf13",0,1.12376013854085,0.994,0.64,0,"CM1","Fgf13"
"Celf2",0,0.97001787286939,0.993,0.657,0,"CM1","Celf2"
"Rbm20",0,1.05181069851144,0.999,0.684,0,"CM1","Rbm20"
"Camk2d",0,0.917374208367857,0.99,0.688,0,"CM1","Camk2d"
"Dmd",0,1.08606615494531,0.996,0.702,0,"CM1","Dmd"
"Fhod3",0,0.947093361899876,0.996,0.705,0,"CM1","Fhod3"
"Pcdh7",0,0.925683043151317,0.998,0.715,0,"CM1","Pcdh7"
"Ctnna3",0,1.06686203703236,0.999,0.72,0,"CM1","Ctnna3"
"Zbtb20",0,0.93661832454972,0.999,0.724,0,"CM1","Zbtb20"
"Prkg1",0,1.11259408866232,0.996,0.742,0,"CM1","Prkg1"
"Cacna1c",0,1.06107144794818,0.999,0.756,0,"CM1","Cacna1c"
"Cdh2",0,0.912389251803634,0.996,0.756,0,"CM1","Cdh2"
"Palld",0,1.0605684921304,0.998,0.773,0,"CM1","Palld"
"Ldb3",0,0.891679012613988,0.994,0.771,0,"CM1","Ldb3"
"Qk",0,0.874224525468412,0.998,0.812,0,"CM1","Qk"
"Slc8a1",0,1.10504760717891,0.999,0.861,0,"CM1","Slc8a1"
"Ryr2",0,1.13588344558593,1,0.89,0,"CM1","Ryr2"
"Ttn",0,0.798518476948451,1,0.967,0,"CM1","Ttn"
"Malat1",0,0.975900839122152,1,0.985,0,"CM1","Malat1"
"Cacnb2",3.75095710987014e-305,0.936133043828002,0.998,0.655,8.2843638728592e-301,"CM1","Cacnb2"
"Ror1",1.07216772455364e-304,1.07084101848565,0.95,0.542,2.36798963644917e-300,"CM1","Ror1"
"Lrrtm3",1.3013699252574e-299,1.03800660969803,0.951,0.536,2.87420561692349e-295,"CM1","Lrrtm3"
"Zfpm2",4.13040970944634e-299,0.90154555500203,0.997,0.641,9.12242288428319e-295,"CM1","Zfpm2"
"Filip1l",8.15183384553358e-298,1.04683576078869,0.948,0.583,1.80041402312455e-293,"CM1","Filip1l"
"Ablim1",1.8568280121959e-292,0.976124620883173,0.97,0.636,4.10099034773585e-288,"CM1","Ablim1"
"Sox6",2.98543903379655e-292,0.961214576336621,0.978,0.567,6.59364065004306e-288,"CM1","Sox6"
"Mir99ahg",3.57630946779021e-292,0.947670797715498,0.987,0.62,7.89863709056146e-288,"CM1","Mir99ahg"
"Esrrg",6.84220641446012e-292,0.963651748467266,0.983,0.58,1.51116970869766e-287,"CM1","Esrrg"
"Tnni3k",2.46971951675166e-290,0.928708468017564,0.985,0.606,5.45462252469772e-286,"CM1","Tnni3k"
"Stk39",1.86741985876909e-288,1.01411682597203,0.958,0.619,4.1243835000774e-284,"CM1","Stk39"
"Fhl2",4.05175454697718e-286,0.911598633022729,0.995,0.87,8.9487050924538e-282,"CM1","Fhl2"
"Prkn",4.77055744430095e-285,1.30038901821317,0.809,0.385,1.05362531714831e-280,"CM1","Prkn"
"Msi2",1.28376770577961e-283,0.894677928206278,0.98,0.668,2.83532935498485e-279,"CM1","Msi2"
"Sorbs2",2.45013909220497e-283,0.875511318607114,0.998,0.785,5.4113771990439e-279,"CM1","Sorbs2"
"Ppargc1b",2.41310940339943e-280,1.10063606955951,0.912,0.512,5.32959342834798e-276,"CM1","Ppargc1b"
"Neat1",3.3969909061667e-279,1.24407822678153,0.843,0.433,7.50259411535978e-275,"CM1","Neat1"
"Ralgapa2",2.72973582108722e-278,1.06913071416425,0.922,0.522,6.02889453445323e-274,"CM1","Ralgapa2"
"Trdn",2.81820064481417e-278,0.774781768387024,0.995,0.77,6.22427794413657e-274,"CM1","Trdn"
"Rcan2",4.8434672189459e-276,0.947699802697254,0.968,0.631,1.06972816997639e-271,"CM1","Rcan2"
"Pdzd2",5.41746025053805e-274,0.997254694488718,0.97,0.583,1.19650027093383e-269,"CM1","Pdzd2"
"Pde4dip",7.47696780003954e-273,0.912884295308582,0.97,0.65,1.65136310831673e-268,"CM1","Pde4dip"
"Ppp1r12b",2.56226304006274e-271,0.945453534807019,0.963,0.598,5.65901415028257e-267,"CM1","Ppp1r12b"
"Ghr",8.58936212553533e-269,0.974323826236795,0.959,0.59,1.89704651904573e-264,"CM1","Ghr"
"Pbx1",1.43423048957877e-267,0.923522408680936,0.968,0.621,3.16764145928367e-263,"CM1","Pbx1"
"Gm20732",1.07658860561474e-261,1.11661805432353,0.88,0.467,2.37775359436072e-257,"CM1","Gm20732"
"Trim55",1.88607910397437e-261,0.922306927849729,0.974,0.627,4.16559430903779e-257,"CM1","Trim55"
"Pdlim5",1.23146690440509e-259,0.882203844759654,0.985,0.734,2.71981780506909e-255,"CM1","Pdlim5"
"Clasp1",2.48805140090821e-259,0.872269819470061,0.976,0.664,5.49511032404587e-255,"CM1","Clasp1"
"Lrrfip1",1.06988152297691e-254,0.869757085334578,0.977,0.636,2.3629403316468e-250,"CM1","Lrrfip1"
"Lpp",6.14019555054157e-254,0.925481154605506,0.959,0.605,1.35612358929261e-249,"CM1","Lpp"
"Myocd",9.83240950173868e-254,0.890041627852156,0.981,0.625,2.171585962554e-249,"CM1","Myocd"
"Magi3",1.99529869544738e-252,0.89360628966782,0.972,0.596,4.40681669876508e-248,"CM1","Magi3"
"Large1",2.34981556823301e-250,1.03892159278091,0.89,0.498,5.18980266399943e-246,"CM1","Large1"
"Rbfox1",3.20772468902088e-250,1.22674352361644,0.85,0.469,7.08458074817152e-246,"CM1","Rbfox1"
"Cpeb3",2.6150375209271e-248,0.962445090967446,0.908,0.518,5.7755718687196e-244,"CM1","Cpeb3"
"Ehbp1",8.0534540825077e-248,0.920247766314577,0.957,0.575,1.77868586866265e-243,"CM1","Ehbp1"
"Pde1c",1.96045182278304e-246,0.994527343597817,0.922,0.539,4.32985389579862e-242,"CM1","Pde1c"
"Sorbs2os",3.51228820432243e-245,1.05845762133835,0.891,0.48,7.75723972806652e-241,"CM1","Sorbs2os"
"Gm49708",8.75508554937094e-245,1.14660555682466,0.842,0.454,1.93364819443407e-240,"CM1","Gm49708"
"Lrrfip2",9.90797893382381e-243,0.914595135083099,0.945,0.574,2.18827622732433e-238,"CM1","Lrrfip2"
"Gm30382",3.23532873027056e-242,1.15564100557642,0.828,0.43,7.14554703367555e-238,"CM1","Gm30382"
"Myom1",6.00470524002378e-241,0.836246705033274,0.982,0.721,1.32619919931165e-236,"CM1","Myom1"
"Auts2",1.56889988431296e-239,0.842864125563908,0.979,0.62,3.46507228449361e-235,"CM1","Auts2"
"Ank3",8.87665211544418e-239,0.857320625827787,0.951,0.576,1.960497386217e-234,"CM1","Ank3"
"Mhrt",9.37558720578696e-239,1.02815690985468,0.876,0.489,2.07069219027011e-234,"CM1","Mhrt"
"Mitf",1.03325399676932e-234,1.00774198078497,0.873,0.489,2.28204477726471e-230,"CM1","Mitf"
"Gata4",1.03830497355116e-232,0.889414757293238,0.95,0.596,2.2932003645851e-228,"CM1","Gata4"
"Kcnn2",7.36568431805224e-232,0.951441898355743,0.896,0.494,1.62678503848502e-227,"CM1","Kcnn2"
"Ccdc141",5.03705689145068e-230,0.828524613742964,0.966,0.629,1.1124843850458e-225,"CM1","Ccdc141"
"Cdh13",1.13500612166405e-228,0.888235795220791,0.951,0.596,2.50677452030722e-224,"CM1","Cdh13"
"Airn",1.49580218854195e-228,0.824720494358794,0.964,0.614,3.30362871361375e-224,"CM1","Airn"
"Adamts6",1.26351527820079e-226,1.03398704876865,0.845,0.448,2.79059984343428e-222,"CM1","Adamts6"
"Samd4",1.14407916280916e-224,0.884696704952135,0.941,0.582,2.5268132389803e-220,"CM1","Samd4"
"Sbf2",4.09894088367218e-223,0.957119202632452,0.881,0.506,9.05292083567838e-219,"CM1","Sbf2"
"Gm31251",3.32324113580829e-222,1.08901855715877,0.781,0.409,7.33971037254618e-218,"CM1","Gm31251"
"Prdm16",3.23908847247432e-221,1.12093133692442,0.787,0.409,7.15385080030679e-217,"CM1","Prdm16"
"Pkp2",9.96913987213584e-220,0.928512889111762,0.904,0.551,2.20178423215992e-215,"CM1","Pkp2"
"Nav2",4.40522721503068e-219,0.863023368744966,0.939,0.559,9.72938482711677e-215,"CM1","Nav2"
"Hdac9",6.7566889348973e-219,0.99280208713391,0.848,0.468,1.49228231816142e-214,"CM1","Hdac9"
"Sgcd",2.30167824111057e-218,0.877370718571206,0.928,0.536,5.08348656331681e-214,"CM1","Sgcd"
"Rbpms",4.08614023002594e-218,0.768654585409427,0.974,0.681,9.02464931203528e-214,"CM1","Rbpms"
"Erbb4",2.20493472637892e-216,0.745052565029936,0.989,0.616,4.86981883668048e-212,"CM1","Erbb4"
"Rmdn1",2.2528091268605e-216,0.963047782115621,0.886,0.535,4.97555423758411e-212,"CM1","Rmdn1"
"Phldb2",1.33959052063349e-214,0.954814404079666,0.878,0.521,2.95861962387112e-210,"CM1","Phldb2"
"Insr",3.2356941774006e-212,1.03544058949478,0.821,0.465,7.14635416020697e-208,"CM1","Insr"
"Sntb1",3.01380670170868e-210,1.09592201622282,0.811,0.457,6.6562934813938e-206,"CM1","Sntb1"
"Ppargc1a",3.81656152026653e-210,0.926468104940804,0.933,0.569,8.42925777366066e-206,"CM1","Ppargc1a"
"Phactr2",1.40143272227812e-207,0.881107043474302,0.915,0.544,3.09520431042346e-203,"CM1","Phactr2"
"Rnf207",4.06500525541276e-206,1.07050260838828,0.768,0.409,8.97797060710461e-202,"CM1","Rnf207"
"Cacna2d1",1.93497320906443e-204,0.826727974145664,0.933,0.557,4.2735818295397e-200,"CM1","Cacna2d1"
"Shroom3",3.02962665597127e-204,0.948931949605598,0.881,0.492,6.69123343237815e-200,"CM1","Shroom3"
"Magi1",3.63108518185562e-202,0.800444345353338,0.957,0.586,8.01961473264633e-198,"CM1","Magi1"
"Rreb1",7.9601637124451e-201,1.06733579018807,0.785,0.427,1.75808175753062e-196,"CM1","Rreb1"
"Hmcn1",4.11726843806421e-200,0.737636049217403,0.964,0.616,9.09339907230862e-196,"CM1","Hmcn1"
"Vps13d",5.94771432116946e-200,0.971330863955912,0.81,0.461,1.31361218497349e-195,"CM1","Vps13d"
"Nfia",1.07446927259946e-199,0.694331823104679,0.989,0.718,2.37307283546316e-195,"CM1","Nfia"
"Dlc1",1.0780689341177e-199,0.787957590728115,0.964,0.636,2.38102304789234e-195,"CM1","Dlc1"
"Mef2a",9.49931662148465e-199,0.740578312952725,0.966,0.687,2.0980190690211e-194,"CM1","Mef2a"
"Rbm24",2.01990809484399e-198,0.75840105901725,0.966,0.679,4.46116901827243e-194,"CM1","Rbm24"
"Lmo7",1.90150388974533e-197,0.747499755004236,0.972,0.693,4.19966149089153e-193,"CM1","Lmo7"
"Mical3",2.02294635665381e-196,0.913429350459686,0.862,0.502,4.4678793233056e-192,"CM1","Mical3"
"Atxn1",3.06404725407379e-196,0.869045162607316,0.883,0.517,6.76725476534737e-192,"CM1","Atxn1"
"Kidins220",7.2502671750569e-196,0.925581571922844,0.838,0.48,1.60129400828307e-191,"CM1","Kidins220"
"Fry",7.7653102391968e-195,0.789577467720397,0.935,0.574,1.715046419429e-190,"CM1","Fry"
"Pde3a",1.38030358037507e-194,0.894305441078737,0.884,0.533,3.04853848761638e-190,"CM1","Pde3a"
"Pip5k1b",4.77863061215115e-194,0.892042013488406,0.864,0.501,1.0554083569997e-189,"CM1","Pip5k1b"
"Rere",7.1935126173588e-194,0.814538486471114,0.914,0.549,1.58875919666987e-189,"CM1","Rere"
"Pdzrn3",1.87193204480209e-193,0.927769828622714,0.868,0.523,4.13434911414989e-189,"CM1","Pdzrn3"
"Erc1",2.74628836438261e-192,0.901173928994317,0.848,0.487,6.06545248157542e-188,"CM1","Erc1"
"Tnik",6.62316934452017e-192,0.972298539932218,0.797,0.432,1.46279318143073e-187,"CM1","Tnik"
"Mid1",2.81359648095186e-191,0.996590555266674,0.834,0.463,6.21410918783029e-187,"CM1","Mid1"
"Dpf3",9.0510300550591e-191,1.06229897391735,0.744,0.394,1.99901049796035e-186,"CM1","Dpf3"
"Akap13",2.09077419694651e-189,0.791697339874042,0.921,0.582,4.61768389137607e-185,"CM1","Akap13"
"Prkca",7.46611304397926e-188,0.873655905562225,0.852,0.486,1.64896572689326e-183,"CM1","Prkca"
"Msrb3",1.5342764925971e-186,0.848100410872775,0.896,0.557,3.38860306154995e-182,"CM1","Msrb3"
"Aopep",1.61812708135913e-186,0.961898803552792,0.815,0.464,3.57379547188978e-182,"CM1","Aopep"
"Bmpr1a",2.81001996094025e-186,0.827712482511699,0.899,0.545,6.20621008573264e-182,"CM1","Bmpr1a"
"Chd2",4.14872530816097e-186,0.864265972808672,0.837,0.487,9.16287471560432e-182,"CM1","Chd2"
"4930512H18Rik",8.43088443587358e-185,1.16312825600341,0.678,0.33,1.86204513650704e-180,"CM1","4930512H18Rik"
"Ivns1abp",3.54162160061785e-182,0.798643378921837,0.955,0.701,7.82202546712459e-178,"CM1","Ivns1abp"
"Rgs6",6.01174093264341e-182,0.921234083345567,0.821,0.468,1.32775310238362e-177,"CM1","Rgs6"
"Mbd5",2.94613705082956e-181,0.888267995160572,0.828,0.474,6.50683829046217e-177,"CM1","Mbd5"
"Chchd3",1.14935242369604e-178,0.70591992811112,0.961,0.669,2.53845976297508e-174,"CM1","Chchd3"
"Fbxl17",6.18521673792308e-178,0.835520502948782,0.866,0.512,1.36606696873769e-173,"CM1","Fbxl17"
"Neo1",7.47909787318e-178,0.833151630259843,0.862,0.505,1.65183355627053e-173,"CM1","Neo1"
"Cblb",3.51044969890827e-177,1.07872293755275,0.692,0.358,7.7531792050088e-173,"CM1","Cblb"
"Pard3",6.71728858157965e-177,0.823105447169175,0.847,0.482,1.48358035612768e-172,"CM1","Pard3"
"Vwa8",3.16742433145617e-176,0.908636445154525,0.808,0.468,6.9955733784541e-172,"CM1","Vwa8"
"Zcchc7",2.25272824958676e-175,0.869437194523582,0.808,0.454,4.97537561203731e-171,"CM1","Zcchc7"
"Prkce",3.12166176209445e-175,0.850106090066343,0.852,0.497,6.8945021677618e-171,"CM1","Prkce"
"Ppm1l",1.09148235377946e-174,1.08905447345507,0.697,0.358,2.4106479265573e-170,"CM1","Ppm1l"
"Kcnq1",3.67469482983185e-174,1.01003438257044,0.738,0.401,8.11593100116662e-170,"CM1","Kcnq1"
"Rabgap1l",1.08493890707221e-173,0.79913136008971,0.913,0.558,2.39619607015968e-169,"CM1","Rabgap1l"
"Kansl1",2.24107733509076e-172,0.821594025196592,0.844,0.493,4.94964340228145e-168,"CM1","Kansl1"
"Corin",7.91905867970592e-172,0.953693318172444,0.787,0.439,1.74900329999985e-167,"CM1","Corin"
"Arhgap26",9.36166488609195e-172,0.857897966311495,0.811,0.455,2.06761730674227e-167,"CM1","Arhgap26"
"Ptprd",2.08565647894554e-171,0.722740120153856,0.913,0.529,4.60638089939912e-167,"CM1","Ptprd"
"Ptprk",4.03985225464502e-171,0.748682162133835,0.911,0.547,8.92241768960899e-167,"CM1","Ptprk"
"Svil",8.30749833860768e-171,0.783814324848282,0.886,0.572,1.83479408306489e-166,"CM1","Svil"
"Mir133a-1hg",8.55576536221179e-171,1.03527745068474,0.71,0.379,1.8896263378981e-166,"CM1","Mir133a-1hg"
"Ltbp1",1.68049947971204e-170,1.04585613392047,0.722,0.386,3.711551150892e-166,"CM1","Ltbp1"
"Garem1",5.62410421461421e-170,0.947101207063282,0.753,0.415,1.24213965683969e-165,"CM1","Garem1"
"Efna5",2.95041685490465e-168,0.861041370951677,0.835,0.485,6.51629066574242e-164,"CM1","Efna5"
"Nfyc",1.38786538537817e-167,0.928160903208838,0.766,0.435,3.06523949014622e-163,"CM1","Nfyc"
"Fgfr2",4.11966428258684e-167,0.879048441341609,0.797,0.455,9.09869053452129e-163,"CM1","Fgfr2"
"Jph2",6.35364603738135e-167,0.835464901863574,0.849,0.522,1.40326626381604e-162,"CM1","Jph2"
"Gm37240",1.72813714776894e-166,1.12914935630884,0.654,0.335,3.81676370456249e-162,"CM1","Gm37240"
"Ogt",1.52413196296802e-165,0.90260637839965,0.768,0.44,3.36619785341116e-161,"CM1","Ogt"
"Gphn",7.2796049719404e-165,0.76955185107405,0.884,0.544,1.60777355410276e-160,"CM1","Gphn"
"4930402H24Rik",1.40736890864083e-164,0.820563892312416,0.839,0.509,3.10831497162414e-160,"CM1","4930402H24Rik"
"Nfat5",1.38523317813762e-163,0.834054443991113,0.813,0.477,3.05942599723474e-159,"CM1","Nfat5"
"Myh7b",1.87340847246917e-163,1.11196801331033,0.616,0.297,4.1376099522954e-159,"CM1","Myh7b"
"Diaph2",3.33330312550781e-163,0.750687021048549,0.843,0.48,7.36193328299654e-159,"CM1","Diaph2"
"Cpq",1.54685464598439e-162,0.901153065997784,0.77,0.439,3.41638317112113e-158,"CM1","Cpq"
"Mast4",2.40268879338683e-162,0.695669127778987,0.914,0.583,5.30657846907415e-158,"CM1","Mast4"
"Gja1",5.77895141403808e-162,0.715827175801639,0.938,0.677,1.27633920930445e-157,"CM1","Gja1"
"Mical2",6.83205478315856e-162,0.907884986660815,0.775,0.448,1.5089276194084e-157,"CM1","Mical2"
"Dcp1b",3.74339035552374e-161,0.995482141799852,0.706,0.375,8.26765193920973e-157,"CM1","Dcp1b"
"Arid1b",1.18149308392507e-160,0.830812021596466,0.805,0.476,2.60944562515691e-156,"CM1","Arid1b"
"Nebl",1.45206575923416e-160,0.724430524454619,0.921,0.627,3.20703243584456e-156,"CM1","Nebl"
"Grb14",1.50331995465281e-160,0.885623377839931,0.817,0.502,3.3202324518462e-156,"CM1","Grb14"
"Ubr3",5.81815385356424e-160,0.842387940268795,0.786,0.465,1.2849974600982e-155,"CM1","Ubr3"
"Exoc4",6.09790042093228e-160,0.800152032330328,0.878,0.526,1.3467822869671e-155,"CM1","Exoc4"
"Ppip5k2",3.51247119952544e-159,0.858853331261435,0.812,0.482,7.75764389127189e-155,"CM1","Ppip5k2"
"Sik3",5.59993476104143e-159,0.907615338288987,0.769,0.448,1.23680159132361e-154,"CM1","Sik3"
"Lama2",8.67681970103296e-159,0.761633923350101,0.913,0.594,1.91636239917014e-154,"CM1","Lama2"
"Luc7l2",1.66126262091089e-158,0.707091313899955,0.942,0.628,3.66906462454378e-154,"CM1","Luc7l2"
"Ssh2",4.71622398263989e-158,0.750477211759344,0.896,0.556,1.04162522880585e-153,"CM1","Ssh2"
"Myo18b",3.45830396199603e-157,0.828976742507533,0.814,0.482,7.63801013046443e-153,"CM1","Myo18b"
"Ptprm",1.39385183746207e-156,0.71358108963082,0.892,0.556,3.07846116821872e-152,"CM1","Ptprm"
"Trpm7",8.14842380526894e-156,0.7880625455183,0.861,0.526,1.7996608816317e-151,"CM1","Trpm7"
"Lysmd4",1.35678684353573e-155,1.01213658759549,0.668,0.348,2.99659942263302e-151,"CM1","Lysmd4"
"Jmjd1c",1.69347924129601e-155,0.777735905126657,0.826,0.488,3.74021825232636e-151,"CM1","Jmjd1c"
"Adk",1.92655562025572e-155,0.684464976032025,0.914,0.588,4.25499074289678e-151,"CM1","Adk"
"Slc38a2",5.49357081481097e-155,0.692752241228404,0.979,0.771,1.21331005015915e-150,"CM1","Slc38a2"
"Ralgapa1",2.35003014496891e-154,0.826464711854615,0.802,0.473,5.19027657817833e-150,"CM1","Ralgapa1"
"Enah",1.76970267406329e-153,0.787028941534707,0.892,0.568,3.90856532593619e-149,"CM1","Enah"
"Prickle1",1.86004756171794e-153,0.946689361057299,0.745,0.429,4.10810104481025e-149,"CM1","Prickle1"
"Mtss1",2.71471843829612e-153,0.858477776703487,0.781,0.455,5.9957271428208e-149,"CM1","Mtss1"
"Meis1",2.7289245258921e-152,0.778482338556998,0.807,0.459,6.0271027078853e-148,"CM1","Meis1"
"Rbms1",3.22172364195201e-151,0.695058389809784,0.934,0.632,7.11549883561522e-147,"CM1","Rbms1"
"Kat6b",4.08055542686771e-151,0.971831649518391,0.705,0.387,9.01231471578002e-147,"CM1","Kat6b"
"Ptpn4",6.10468270970439e-151,0.794472295563836,0.782,0.447,1.34828022326531e-146,"CM1","Ptpn4"
"Acacb",1.09294060333108e-150,0.939291201548153,0.688,0.379,2.41386861651702e-146,"CM1","Acacb"
"Bcas3",2.39759545162714e-149,1.01246893120682,0.655,0.345,5.2953293144637e-145,"CM1","Bcas3"
"Asph",1.37243449561289e-148,0.80271291669276,0.835,0.539,3.03115882701063e-144,"CM1","Asph"
"Tcf12",1.83499636796007e-148,0.696848764651592,0.869,0.529,4.05277297827661e-144,"CM1","Tcf12"
"Casz1",1.26644907124399e-147,0.846370051483166,0.752,0.433,2.79707941874947e-143,"CM1","Casz1"
"Ankrd17",1.63295902701439e-147,0.736001335570675,0.859,0.534,3.60655330706398e-143,"CM1","Ankrd17"
"Uty",4.97319987356574e-147,0.85625734492623,0.745,0.421,1.09838092407573e-142,"CM1","Uty"
"Cog5",5.80637984225538e-147,0.868027033979842,0.753,0.435,1.28239705196052e-142,"CM1","Cog5"
"Kcnq1ot1",9.85460457235406e-147,0.857864954135955,0.721,0.396,2.17648796585012e-142,"CM1","Kcnq1ot1"
"Stau2",1.00996825909925e-145,0.93010467696962,0.713,0.399,2.2306158970466e-141,"CM1","Stau2"
"Osbpl8",1.37387760819763e-145,0.754755030490398,0.857,0.546,3.03434608546529e-141,"CM1","Osbpl8"
"Ube2e2",2.34817374379816e-145,0.887612045084459,0.757,0.441,5.18617653055262e-141,"CM1","Ube2e2"
"Dlg1",4.78313299127459e-145,0.853609171681402,0.738,0.423,1.05640275245291e-140,"CM1","Dlg1"
"Kmt2c",7.10297602898646e-145,0.78927419425591,0.795,0.47,1.56876328576195e-140,"CM1","Kmt2c"
"Cd2ap",1.31486860571725e-144,0.800313768939589,0.763,0.444,2.90401880258711e-140,"CM1","Cd2ap"
"Zfp280d",2.05730684401214e-144,0.835106723229412,0.762,0.439,4.54376789568521e-140,"CM1","Zfp280d"
"Tcf7l2",2.74363083550936e-144,0.825015445569357,0.773,0.457,6.05958306330598e-140,"CM1","Tcf7l2"
"Ntn1",5.56598714216382e-144,1.0307038003229,0.673,0.376,1.2293039202183e-139,"CM1","Ntn1"
"Tecrl",1.19438073389713e-143,1.00113608748773,0.633,0.327,2.63790928888519e-139,"CM1","Tecrl"
"Slc4a4",1.41161601717968e-143,0.904360161553534,0.719,0.407,3.11769513554305e-139,"CM1","Slc4a4"
"Synpo2",2.5837345679298e-143,0.949253606510752,0.705,0.399,5.70643616672976e-139,"CM1","Synpo2"
"Mbnl2",3.38742477848229e-143,0.682573973387657,0.908,0.61,7.48146636575598e-139,"CM1","Mbnl2"
"Nr3c2",7.17527752182971e-143,0.985275183232327,0.676,0.369,1.58473179347131e-138,"CM1","Nr3c2"
"Sptbn1",1.03849210265398e-142,0.526511541664464,0.982,0.787,2.29361365792158e-138,"CM1","Sptbn1"
"Ppp2r3a",1.08607902214086e-142,0.693679756228736,0.915,0.613,2.3987141283003e-138,"CM1","Ppp2r3a"
"Tbc1d5",1.13236864127809e-142,0.739243042500552,0.798,0.459,2.5009493811268e-138,"CM1","Tbc1d5"
"Gm40841",1.90406051868478e-142,1.21655534949239,0.568,0.276,4.20530806156721e-138,"CM1","Gm40841"
"Tbx20",6.64287962779314e-142,0.750710755749123,0.906,0.629,1.46714639459439e-137,"CM1","Tbx20"
"Baz2b",8.29828359848687e-142,0.717897095126822,0.841,0.512,1.83275891556181e-137,"CM1","Baz2b"
"Tln2",1.2701936519629e-141,0.756943783176057,0.823,0.494,2.80534969972526e-137,"CM1","Tln2"
"Ppp1r12a",2.02339370119864e-140,0.695313821965625,0.898,0.584,4.46886732846731e-136,"CM1","Ppp1r12a"
"Zfp407",4.50602716544077e-140,0.860678473952215,0.723,0.413,9.95201159759248e-136,"CM1","Zfp407"
"Chrm2",4.65563509182545e-140,0.847976476890703,0.769,0.454,1.02824356638057e-135,"CM1","Chrm2"
"Txlnb",4.75727038098294e-140,0.832236328693918,0.745,0.441,1.05069073634389e-135,"CM1","Txlnb"
"Pam",2.15825606644894e-139,0.609110255212012,0.949,0.697,4.76672434835914e-135,"CM1","Pam"
"Kif16b",2.4952960493317e-139,0.95070552918419,0.667,0.372,5.511110854554e-135,"CM1","Kif16b"
"Maml3",4.43873877209535e-139,0.950803220894026,0.669,0.374,9.80339845204979e-135,"CM1","Maml3"
"Filip1",1.14868585563214e-138,0.802139171548062,0.803,0.487,2.53698758074915e-134,"CM1","Filip1"
"Lrba",5.97116582447092e-138,0.942971940403616,0.661,0.358,1.31879168399265e-133,"CM1","Lrba"
"Ednra",1.48646620542476e-137,1.03012515331888,0.614,0.322,3.28300926130113e-133,"CM1","Ednra"
"Rbm39",1.85241954553892e-137,0.60593532773746,0.947,0.67,4.09125380827726e-133,"CM1","Rbm39"
"Nlk",3.20962917704241e-137,0.903282199553661,0.686,0.386,7.08878700041587e-133,"CM1","Nlk"
"Rora",5.01530904312041e-137,0.851538532760157,0.75,0.452,1.10768115526357e-132,"CM1","Rora"
"Macf1",5.88441731882081e-137,0.585081153106997,0.958,0.683,1.29963240903476e-132,"CM1","Macf1"
"Antxr2",2.92128732923678e-136,0.739551889539813,0.831,0.513,6.45195519535235e-132,"CM1","Antxr2"
"Ppp1r9a",3.31985684060008e-136,0.960196754521681,0.663,0.371,7.33223581814933e-132,"CM1","Ppp1r9a"
"Gpcpd1",5.80525576365927e-135,0.840427083635892,0.708,0.404,1.28214878796179e-130,"CM1","Gpcpd1"
"Vps13b",1.77362787411237e-134,0.8202636032679,0.695,0.382,3.91723452276459e-130,"CM1","Vps13b"
"Tbc1d4",2.67729083277324e-134,0.788665786510101,0.735,0.43,5.91306453326297e-130,"CM1","Tbc1d4"
"Ubn2",5.42044206638608e-134,0.829914319716886,0.714,0.405,1.19715883478203e-129,"CM1","Ubn2"
"Cdkal1",3.52576620749936e-133,0.742586339334326,0.771,0.441,7.78700724588308e-129,"CM1","Cdkal1"
"Dennd1a",1.41100250073079e-132,0.741342840102984,0.776,0.452,3.11634012311401e-128,"CM1","Dennd1a"
"Phtf2",2.39726989309743e-132,0.851777312478419,0.714,0.418,5.29461028589498e-128,"CM1","Phtf2"
"Foxp1",4.57529740204937e-132,0.669393314369397,0.866,0.539,1.01050018421662e-127,"CM1","Foxp1"
"Ppp1r14c",5.8628318924352e-132,0.650338771867248,0.934,0.672,1.29486505176324e-127,"CM1","Ppp1r14c"
"Rsrp1",6.60125971932209e-132,0.772874332458152,0.737,0.44,1.45795422160948e-127,"CM1","Rsrp1"
"Dtna",1.59619198265381e-131,1.02111273818399,0.597,0.31,3.5253496128892e-127,"CM1","Dtna"
"Kansl1l",1.60372707947876e-131,0.871682184252352,0.698,0.396,3.54199162773679e-127,"CM1","Kansl1l"
"Strn3",1.72306175482571e-131,0.679460285467145,0.847,0.536,3.80555419170806e-127,"CM1","Strn3"
"Usp34",2.7337232208131e-131,0.691450466451864,0.822,0.505,6.03770110548782e-127,"CM1","Usp34"
"Ppm1e",1.10800166171151e-130,0.959624915061909,0.665,0.368,2.44713247005604e-126,"CM1","Ppm1e"
